,gp0_Var_0_Bajo,gp0_Var_1_Bajo,gp0_Var_2_Bajo,gp0_Var_6_Bajo,gp0_Var_7_Bajo,gp3_Var_8_Bajo,gp_Var_9_Bajo,gp_Var_9_Medio,gp_Var_14_Medio,gp_Var_14_Bajo,gp_Var_15_Medio,gp_Var_15_Bajo,gpT_Var_13T_Alto,gpT_Var_13T_Medio,gpT_Var_10T_Medio,gpT_Var_10T_Bajo
309,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
1311,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1
912,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0
6737,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0
4090,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1
972,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0
6366,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
5437,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
6074,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
762,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1
2930,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
5391,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
3833,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
2921,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1
1555,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0
8062,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0
6292,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1
3522,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0
6212,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0
2555,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
8507,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
7753,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0
611,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
4513,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
4957,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
6891,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0
461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8367,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1
3906,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0
3589,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1
509,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
2659,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
6848,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0
1154,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1
1590,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0
8143,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0
488,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0
5458,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0
8593,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
3318,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0
6904,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
1000,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
3248,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
2977,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0
5401,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
2670,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0
5973,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1
181,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
5198,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
603,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1
